code,fibre_compo
CT,Cotton
ST,Cotton+Lycra
PC,Poly+Cotton
JCT,Jet-Cotton
JCM,Jet-Cotton+Modal
SPC,Poly+Cotton+Lycra
CV,Cotton+Viscose
BST,Bistretch-Cotton+Lycra
JV,Jet-Viscose
V,Viscose
JCV,Jet-Cotton+Viscose
TC,Tencel+Cotton
JM,Jet-Modal
CL,Cotton+Linen
FX,Dual-Core
CM,Cotton+Modal
T,Tencel
BSC4,Bistretch-Cotton+Poly(T4)+Lycra
SCM,Cotton+Modal+Lycra
JST,Jet-Cotton+Lycra
PM,Poly+Modal
GV,Jigger-Viscose
GSCN,Jigger-Cotton+Nylon+Lycra
GCN,Jigger-Cotton+Nylon
JVM,Jet-Viscose+Modal
SC4,Cotton+Poly(T4)+Lycra
JTC,Jet-Tencel+Cotton
JMS,Jet-Modal+Lycra
JVCL,Jet-Viscose+Cotton+Linen
TCS,Tencel+Cotton+Lycra
